RamanShift (cm-1)	00:00:56	00:01:25	00:01:55	00:02:26
3338.0000	1783.16365231	668.73801409	1099.45220554	1192.85588777
3337.0000	1055.73862260	570.34521594	524.93068223	764.10035914
3336.0000	434.67343841	487.50661159	160.98132071	398.78073585
3335.0000	426.25803384	580.84867095	265.95942577	366.95417284
3334.0000	738.95158255	629.90791666	466.44992286	543.25171288
3333.0000	1211.29683142	537.99882835	452.99919619	616.21761017
3332.0000	1664.04467740	350.62589004	389.63119914	658.69507453
3331.0000	1733.27135471	237.32942926	394.52317533	894.27100451
3330.0000	1459.56283681	410.02588837	487.04375850	1115.65918130
3329.0000	1203.29858346	770.89368043	767.56739274	1114.61218348
3328.0000	1180.82572061	1203.86925093	1203.85190445	1176.62982114
3327.0000	1278.09583621	1625.77869941	1583.69866276	1312.56662105
3326.0000	1235.72500172	1607.31547762	1656.63761609	1110.71913893
3325.0000	1067.71521952	1063.76788688	1415.20036773	820.56048445
3324.0000	1010.12400716	768.47408132	1292.69920456	1023.07787690
3323.0000	1244.56054913	1163.28697368	1536.34979871	1428.13521091
3322.0000	1748.77011063	1575.65745946	1757.92376949	1440.56854946
3321.0000	2124.19075404	1411.66100239	1669.84942278	1161.72861984
3320.0000	2041.73964649	1083.08398280	1475.90948403	1019.40547456
3319.0000	1786.36609608	1036.51806111	1312.34899524	1189.03196421
3318.0000	1712.29831364	1055.55679583	1124.39791804	1485.49394244
3317.0000	1737.73446530	1082.37662529	1050.25039777	1595.01416836
3316.0000	1734.61058040	1441.54921654	1268.49717172	1574.64451992
3315.0000	1674.73088888	1970.08015498	1525.04197042	1608.27643784
3314.0000	1463.36602619	2074.81475242	1493.02608929	1488.05850429
3313.0000	1173.48905479	1722.32204282	1423.30797562	1214.01344520
3312.0000	1029.43539528	1455.45587886	1538.08714359	1178.49009111
3311.0000	953.88866676	1463.20536838	1455.49356134	1275.67956867
3310.0000	719.58223745	1407.64192926	1041.62767000	1196.61935193
3309.0000	404.82346710	1057.57812898	627.32549828	1150.76779392
3308.0000	241.79526047	589.49533335	348.59447423	1205.39468810
3307.0000	416.49102092	389.88159870	460.14108401	1186.85770199
3306.0000	966.12207185	549.20501456	1145.66292907	1327.74101354
3305.0000	1422.57510186	653.39174675	1549.54679290	1562.56789748
3304.0000	1260.49420855	477.16899223	921.46950327	1317.82928514
3303.0000	913.49609183	407.99310001	221.69562669	866.63320542
3302.0000	1136.04402632	798.31223610	621.26944264	936.25872009
3301.0000	1573.35967495	1359.83034303	1462.38823549	1121.53166106
3300.0000	1463.63811227	1433.78726096	1440.61679825	742.49223066
3299.0000	1117.34236096	962.49128320	768.07954411	298.86315499
3298.0000	1166.18853874	692.91585609	478.04649419	494.77677621
3297.0000	1323.76538648	829.59129551	507.78413463	941.92347227
3296.0000	1164.07996545	773.99107590	253.74585226	848.14803673
3295.0000	948.31526362	569.53430703	36.68873781	341.50170533
3294.0000	938.67963248	707.56142088	416.29611370	276.82229661
3293.0000	1087.16910531	989.20499173	1105.40152884	879.80893974
3292.0000	1457.42525097	1158.36513289	1529.91182954	1552.19056430
3291.0000	1897.28161961	1320.43075479	1552.24904997	1853.57620117
3290.0000	1870.78631923	1270.91866219	1334.92646700	1740.80796589
3289.0000	1364.75333521	907.37787906	1074.47148444	1389.11219202
3288.0000	974.67592504	649.37088049	895.42720317	1149.17820449
3287.0000	874.01247394	606.76307873	819.22088270	1030.81458489
3286.0000	792.30602731	486.37456339	829.11398388	757.18355239
3285.0000	687.09349517	355.92548666	876.59957254	521.80188966
3284.0000	640.53519610	530.44614451	865.85920511	623.28103444
3283.0000	635.23075061	912.31588940	768.22476689	837.48380705
3282.0000	665.18991290	1003.14381771	648.32056659	976.98403745
3281.0000	729.89106922	668.70734090	572.32820296	1135.96775964
3280.0000	822.11220542	373.30663245	605.78915471	1195.19606184
3279.0000	854.15084035	298.70303601	681.58404343	985.57581576
3278.0000	684.71023672	175.32216812	530.34348882	675.75088766
3277.0000	545.88277460	132.75228146	176.00286233	525.95483442
3276.0000	880.18792416	443.04036024	126.07479647	638.08891576
